
> frontend@0.0.0 dev
> vite --host 127.0.0.1 --port 5173


  VITE v8.0.16  ready in 844 ms

  ➜  Local:   http://127.0.0.1:5173/
10:02:28 [vite] (client) hmr update /src/pages/HomePage.tsx
10:02:28 [vite] (client) hmr update /src/index.css
10:17:15 [vite] (client) hmr update /src/layout/AppLayout.tsx
10:17:15 [vite] (client) hmr update /src/App.tsx
10:17:15 [vite] (client) hmr update /src/pages/PatientSpacePage.tsx
10:23:47 [vite] (client) hmr update /src/layout/AppLayout.tsx
10:23:47 [vite] (client) hmr update /src/App.tsx
10:23:47 [vite] (client) hmr update /src/pages/DoctorSpacePage.tsx
10:24:25 [vite] (client) hmr update /src/pages/DoctorSpacePage.tsx
10:27:13 [vite] (client) hmr update /src/pages/LoginPage.tsx
10:33:10 [vite] (client) hmr update /src/layout/AppLayout.tsx
10:33:16 [vite] (client) hmr update /src/pages/LoginPage.tsx
10:33:21 [vite] (client) hmr update /src/pages/RegisterPage.tsx
10:33:21 [vite] (client) hmr update /src/pages/RegisterPage.tsx
10:33:25 [vite] (client) hmr update /src/index.css
10:38:50 [vite] (client) hmr update /src/layout/AppLayout.tsx
